CASE_ID,PARTY_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED
"1756113",4,"1","M",44,"4","1","M","G","0"
"1775942",1,"2","F",24,"0","3","M","G","0"
"1786930",1,"1","M",26,"3","1","P","W","1"
"1793871",1,"2","M",18,"0","3","G","-","0"
"1793871",1,"2","M",22,"0","6","G","-","0"
"1793871",1,"2","F",21,"0","4","G","-","0"
"1806039",1,"2","F",36,"4","6","P","G","0"
"1806039",1,"2","M",0,"0","4","P","Q","0"
"1806039",2,"2","F",33,"0","5","P","C","0"
"1806039",2,"2","M",4,"0","4","P","Q","0"
"1816091",1,"2","F",19,"4","3","M","G","0"
"1816091",1,"2","F",17,"0","6","M","G","0"
"1820998",1,"2","-",43,"0","3","G","-","0"
"1820998",1,"1","F",25,"3","1","G","-","0"
"1828829",2,"2","M",49,"0","3","L","G","0"
"1831649",1,"1","F",52,"4","1","M","G","0"
"1831744",1,"2","F",6,"0","6","-","G","0"
"1835863",1,"1","M",57,"4","1","M","G","0"
"1836143",1,"1","F",52,"4","1","M","G","0"
"1836154",2,"1","M",33,"4","1","G","-","0"
"1836154",3,"1","F",46,"4","1","G","-","0"
"1836158",1,"2","F",22,"4","1","-","G","0"
"1836376",1,"1","F",22,"4","1","G","-","0"
"1836380",2,"2","F",49,"0","3","G","-","0"
"1836392",1,"2","F",0,"0","5","M","Q","0"
"1836555",2,"1","M",43,"4","1","G","-","0"
"1836555",2,"2","F",34,"4","3","G","-","0"
"1842839",2,"1","M",33,"3","1","M","G","0"
"1842839",3,"1","M",35,"4","1","L","G","0"
"1842839",4,"1","F",24,"3","1","L","G","0"
"1842839",5,"2","M",1,"0","3","M","Q","0"
"1852913",1,"1","M",29,"4","1","M","G","0"
"1866536",1,"1","M",44,"4","1","M","G","0"
"1866593",1,"1","M",19,"3","1","L","-","0"
"1871051",2,"2","M",57,"0","3","G","-","0"
"1871185",3,"1","F",29,"3","1","G","-","0"
